circ_idx,seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_native_gate_count,G_native_gate_count,d_native_gate_count,M_native_gate_count,full_native_gate_count,remaining_native_gate_count,remaining_wait_num_4-pihalf,remaining_wait_num_pihalf,full_sequence_length
72,Gxpi2:0(Gypi2:0)Gxpi2:0Gxpi2:0@(0)  563  461,Gxpi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0,5,6,1,7,1,1,1,2,4,32769,8192,1,8196
73,Gxpi2:0(Gypi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  857  167,Gxpi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,5,6,1,9,1,1,1,3,5,32768,8192,0,8195
74,Gxpi2:0(Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  555  469,Gxpi2:0,Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,5,6,1,10,1,1,1,3,5,32768,8192,0,8195
75,Gypi2:0(Gypi2:0)Gxpi2:0@(0)  556  468,Gypi2:0,Gypi2:0,1,Gxpi2:0,Gypi2:0,Gxpi2:0,6,6,1,5,1,1,1,1,3,32770,8192,2,8197
76,Gypi2:0(Gypi2:0)Gxpi2:0Gxpi2:0@(0)  842  182,Gypi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,6,6,1,7,1,1,1,2,4,32769,8192,1,8196
77,Gypi2:0(Gypi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  560  464,Gypi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,6,6,1,9,1,1,1,3,5,32768,8192,0,8195
78,Gypi2:0(Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  599  425,Gypi2:0,Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,6,1,10,1,1,1,3,5,32768,8192,0,8195
79,Gxpi2:0Gxpi2:0(Gypi2:0)Gxpi2:0@(0)  559  465,Gxpi2:0Gxpi2:0,Gypi2:0,1,Gxpi2:0,Gxpi2:0Gxpi2:0,Gxpi2:0,7,6,1,5,2,1,1,1,4,32769,8192,1,8196
80,Gxpi2:0Gxpi2:0(Gypi2:0)Gypi2:0@(0)  849  175,Gxpi2:0Gxpi2:0,Gypi2:0,1,Gypi2:0,Gxpi2:0Gxpi2:0,Gypi2:0,7,6,1,6,2,1,1,1,4,32769,8192,1,8196
81,Gxpi2:0Gxpi2:0(Gypi2:0)Gxpi2:0Gxpi2:0@(0)  561  463,Gxpi2:0Gxpi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,7,6,1,7,2,1,1,2,5,32768,8192,0,8195
